
 11-08 14:27:21 sell 1760
 11-08 14:27:32 sell 1760
 11-08 14:27:42 sell 1760
 11-08 14:27:53 sell 1760
 11-08 14:28:04 sell 1760
 11-08 14:28:14 sell 1760
 11-08 14:45:44 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:45:55 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:05 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:16 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:27 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:37 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:48 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:46:58 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:47:10 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:47:20 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:47:31 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:47:41 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:47:52 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:03 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:13 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:24 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:34 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:45 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:48:56 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:49:06 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:49:17 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:49:28 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:49:38 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:49:49 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:50:00 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:50:10 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:50:21 sell 1760   real, -19830, should, -21589.847079889703  1604793600000
 11-08 14:57:37 sell 1760   real, -19830, should, -21589.847079889703  1604793600
 11-08 14:57:48 sell 1760   real, -19830, should, -21589.847079889703  1604793600
 11-08 14:57:59 sell 1760   real, -19830, should, -21589.847079889703  1604793600
 11-08 14:58:09 sell 1760   real, -19830, should, -21589.847079889703  1604793600
 11-08 14:58:20 sell 1760   real, -19830, should, -21589.847079889703  1604793600
